Age,Experience,Income,Family ,CCAvg,Mortgage,PersonalLoan
25,1,49,4,1.6,0,reject
45,19,34,3,1.5,0,reject
39,15,11,1,1,0,reject
35,9,100,1,2.7,0,reject
35,8,45,4,1,0,reject
37,13,29,4,0.4,155,reject
53,27,72,2,1.5,0,reject
50,24,22,1,0.3,0,reject
35,10,81,3,0.6,104,reject
34,9,180,1,8.9,0,accept
65,39,105,4,2.4,0,reject
29,5,45,3,0.1,0,reject
48,23,114,2,3.8,0,reject
59,32,40,4,2.5,0,reject
67,41,112,1,2,0,reject
60,30,22,1,1.5,0,reject
38,14,130,4,4.7,134,accept
42,18,81,4,2.4,0,reject
46,21,193,2,8.1,0,accept
55,28,21,1,0.5,0,reject
56,31,25,4,0.9,111,reject
57,27,63,3,2,0,reject
29,5,62,1,1.2,260,reject
44,18,43,2,0.7,163,reject
36,11,152,2,3.9,159,reject
43,19,29,3,0.5,97,reject
40,16,83,4,0.2,0,reject
46,20,158,1,2.4,0,reject
56,30,48,1,2.2,0,reject
38,13,119,1,3.3,0,accept
59,35,35,1,1.2,122,reject
40,16,29,1,2,0,reject
53,28,41,2,0.6,193,reject
30,6,18,3,0.9,0,reject
31,5,50,4,1.8,0,reject
48,24,81,3,0.7,0,reject
59,35,121,1,2.9,0,reject
51,25,71,1,1.4,198,reject
42,18,141,3,5,0,accept
38,13,80,4,0.7,285,reject
57,32,84,3,1.6,0,reject
34,9,60,3,2.3,0,reject
32,7,132,4,1.1,412,accept
39,15,45,1,0.7,0,reject
46,20,104,1,5.7,0,reject
57,31,52,4,2.5,0,reject
39,14,43,3,0.7,153,reject
37,12,194,4,0.2,211,accept
56,26,81,2,4.5,0,reject
40,16,49,1,1.8,0,reject
32,8,8,4,0.7,0,reject
61,37,131,1,2.9,0,reject
30,6,72,1,0.1,207,reject
50,26,190,3,2.1,240,accept
29,5,44,1,0.2,0,reject
41,17,139,2,8,0,reject
55,30,29,3,0.1,0,reject
56,31,131,2,1.2,0,accept
28,2,93,2,0.2,0,reject
31,5,188,2,4.5,455,reject
49,24,39,3,1.7,0,reject
47,21,125,1,5.7,112,reject
42,18,22,1,1,0,reject
42,17,32,4,0,0,reject
47,23,105,2,3.3,0,reject
59,35,131,1,3.8,0,reject
62,36,105,2,2.8,336,reject
53,23,45,4,2,132,reject
47,21,60,3,2.1,0,reject
53,29,20,4,0.2,0,reject
42,18,115,1,3.5,0,reject
53,29,69,4,1,0,reject
44,20,130,1,5,0,reject
41,16,85,1,4,0,reject
28,3,135,2,3.3,0,reject
31,7,135,4,3.8,0,accept
58,32,12,3,0.3,0,reject
46,20,29,3,0.5,0,reject
54,30,133,2,2.6,0,accept
50,26,19,2,0.4,118,reject
60,36,41,4,1.3,174,reject
47,22,40,3,2.7,0,reject
41,16,82,1,4,0,reject
33,9,50,1,2.4,0,reject
46,22,18,1,0.9,0,reject
27,2,109,4,1.8,0,reject
40,16,42,4,2.2,126,reject
48,22,78,3,1.1,0,reject
65,41,51,2,1.1,0,reject
25,-1,113,4,2.3,0,reject
55,30,118,4,5.6,0,accept
35,10,29,4,1.1,0,reject
43,19,34,3,0.6,0,reject
60,34,64,2,1.7,236,reject
65,39,121,1,2,0,reject
38,12,48,4,0.2,0,reject
41,15,80,1,5.2,0,reject
54,28,161,1,2.9,0,reject
49,23,94,1,0.3,0,reject
66,41,15,3,0.1,0,reject
48,23,74,1,1.2,0,reject
61,36,30,3,1.3,0,reject
53,23,44,3,1,198,reject
43,18,22,2,0.3,0,reject
56,32,38,4,1.3,166,reject
24,0,35,3,0.1,0,reject
43,17,69,4,2.9,0,reject
42,18,43,1,0.7,136,reject
33,7,32,1,0.6,166,reject
43,17,49,1,2.8,0,reject
41,14,9,3,1,0,reject
62,38,45,4,1.3,0,reject
40,15,82,3,1,309,reject
58,34,92,2,2.8,103,reject
39,14,39,3,0.5,0,reject
65,40,81,3,1.8,0,reject
54,29,35,1,1.5,0,reject
58,33,61,2,2.3,193,reject
41,16,73,3,3,0,reject
32,7,112,1,4.6,366,reject
54,29,12,2,0.2,0,reject
52,26,38,3,0.9,0,reject
58,32,73,2,0.7,0,reject
37,13,84,1,3.6,0,reject
39,15,78,4,2.4,118,reject
60,35,80,3,0.5,0,reject
31,5,115,2,1.3,101,reject
34,8,82,1,2.7,251,reject
38,14,74,2,0,0,reject
41,16,70,3,0.5,0,reject
28,4,81,3,1.5,276,reject
58,34,149,4,7.2,0,accept
31,1,51,2,1.75,0,reject
30,4,39,3,1.1,0,reject
53,29,98,3,1.8,0,reject
58,33,45,4,2.1,0,reject
59,32,49,4,2.5,0,reject
49,25,128,2,0.4,0,reject
59,34,42,3,1.5,0,reject
59,35,18,1,1.2,0,reject
51,25,31,2,0.4,161,reject
35,11,58,3,2,149,reject
33,9,48,1,2.1,0,reject
25,1,54,4,1.6,0,reject
49,23,70,2,1.5,0,reject
59,35,124,1,7.4,0,reject
46,19,84,1,2.67,0,reject
50,25,83,4,3.6,188,reject
52,28,163,2,0.4,116,reject
48,22,42,3,2.2,0,reject
46,22,118,2,7.5,0,reject
26,0,132,3,6.5,0,accept
57,32,24,1,1.3,0,reject
60,36,22,2,1,0,reject
54,29,58,4,1.3,0,reject
24,0,60,4,1.6,0,reject
26,0,15,4,0.4,0,reject
41,17,83,4,2.67,0,reject
32,6,79,2,1.5,0,reject
61,35,41,4,1.7,0,reject
29,0,134,4,6.5,0,accept
61,35,80,2,2.8,0,reject
38,12,52,1,2,0,reject
28,4,70,4,2.6,0,reject
53,27,92,2,1.1,0,reject
27,1,43,1,1.5,0,reject
25,1,21,3,1,0,reject
33,9,23,3,0.9,0,reject
50,26,13,4,1,0,reject
27,1,112,4,2.1,0,reject
27,1,138,2,2,0,reject
52,28,11,3,0.4,0,reject
38,13,171,2,7.8,0,reject
58,34,42,4,1.5,0,reject
42,17,168,2,7.9,0,accept
45,20,85,4,1.1,0,reject
52,25,44,3,1,135,reject
29,3,65,4,1.8,244,reject
53,29,24,4,0.2,0,reject
62,37,11,1,0.1,0,reject
51,27,38,2,1,164,reject
36,12,10,4,0.7,81,reject
24,0,135,1,1.5,0,reject
29,3,148,3,4.1,0,accept
52,26,63,2,1.5,0,reject
39,14,115,1,1,0,reject
48,23,45,1,0.3,0,reject
46,21,159,3,1.9,315,accept
64,40,169,2,2.1,122,reject
55,29,112,2,1.4,0,reject
60,36,93,1,4.3,0,reject
51,25,29,1,0.3,140,reject
50,23,85,1,2.67,0,reject
48,24,21,4,0.6,0,reject
53,29,144,2,6.8,0,reject
34,10,13,4,1,95,reject
48,24,165,1,5,0,reject
55,31,9,4,0.7,89,reject
27,3,59,4,0,90,reject
36,11,158,1,5.1,0,accept
32,6,29,1,1.9,0,reject
35,9,20,2,1.4,0,reject
30,3,68,4,2,0,reject
58,34,65,4,2.2,0,reject
56,31,61,2,1.9,105,reject
38,12,91,4,1.4,100,reject
49,25,31,1,1,0,reject
34,10,71,4,0.1,0,reject
40,16,73,4,2.67,0,reject
64,39,172,4,3.1,282,accept
51,26,20,2,0,0,reject
44,18,55,1,0.2,0,reject
46,22,69,2,1.7,209,reject
57,33,155,1,7.4,0,reject
54,28,94,1,1.9,0,reject
38,14,92,2,0,249,reject
27,3,125,2,0.6,0,reject
39,14,74,3,3,0,reject
44,20,72,3,0.3,0,reject
56,30,61,1,2.2,0,reject
32,6,25,2,0.3,0,reject
45,19,83,2,1.7,0,reject
26,2,104,3,2.5,0,reject
55,25,41,3,1,0,reject
52,27,58,4,1.8,91,reject
39,13,93,1,1.5,0,reject
24,-1,39,2,1.7,0,reject
47,23,148,2,7.5,0,reject
47,22,53,4,1.9,98,reject
48,24,71,2,1.7,145,reject
47,22,92,1,2.8,0,reject
35,10,61,4,2.1,0,reject
46,19,38,3,2.5,135,reject
62,37,58,4,1.7,0,reject
26,1,80,1,0.8,150,reject
38,8,71,4,1.8,0,reject
43,18,89,3,0.5,0,reject
62,38,83,1,1.8,0,reject
57,32,28,3,0.2,0,reject
28,3,52,4,1.7,0,reject
51,26,70,1,1.2,169,reject
48,22,71,1,1.4,0,reject
41,16,75,1,3.7,280,reject
65,39,170,3,7.9,99,accept
41,17,78,4,0.8,78,reject
35,11,25,2,1,0,reject
38,14,60,2,0.6,0,reject
53,29,120,4,2.7,111,accept
55,29,99,2,1.4,264,reject
26,1,55,3,2.6,113,reject
30,6,29,3,1,117,reject
54,28,170,2,6.2,325,accept
65,40,53,3,2.2,0,reject
47,21,138,1,0,0,reject
65,41,134,3,3.9,121,accept
66,40,42,2,0.7,138,reject
26,0,99,4,2.3,0,reject
66,41,18,3,0.5,0,reject
35,9,24,4,0.3,0,reject
56,30,55,1,1.4,77,reject
51,27,58,1,0,0,reject
42,16,111,2,1.2,251,accept
49,23,33,1,0.3,0,reject
27,1,74,4,1.8,112,reject
45,19,38,2,0.7,0,reject
49,23,23,4,0.6,98,reject
63,38,61,2,1.5,0,reject
47,22,81,1,2.9,138,reject
64,39,129,1,2.5,0,reject
43,13,33,1,0.75,0,reject
60,36,63,4,2.2,0,reject
40,14,70,4,1.4,0,reject
29,3,45,4,0.2,158,reject
41,16,65,3,0.5,0,reject
30,5,74,4,2.2,0,reject
49,24,50,4,1.8,0,reject
30,5,22,4,0.5,109,reject
29,2,30,4,1,0,reject
50,26,21,4,1,0,reject
39,14,155,2,3.9,0,reject
33,8,64,4,2.1,164,reject
57,31,65,4,2.6,0,reject
34,9,71,4,0.7,0,reject
61,36,40,3,0.5,0,reject
44,19,69,3,0.5,0,reject
40,13,69,3,2.33,0,reject
51,25,45,3,0.6,131,reject
37,12,62,3,0.7,0,reject
44,19,172,2,4.3,391,accept
42,15,24,3,1,0,reject
51,25,80,1,4.9,0,reject
43,16,8,3,0.67,88,reject
30,5,38,4,0.8,129,reject
45,19,93,4,2.6,0,reject
35,9,55,1,2,0,reject
60,34,64,2,1.7,0,reject
34,9,122,1,0,0,reject
55,25,70,3,1.4,0,reject
43,19,81,2,3.2,0,reject
41,15,159,1,5.5,0,accept
34,9,70,4,1.3,0,reject
65,39,150,2,6.9,196,reject
45,21,152,2,7.5,0,reject
49,25,195,4,3,617,accept
48,23,22,1,0.1,0,reject
60,35,22,1,1.3,123,reject
55,29,79,3,0.8,0,reject
42,18,33,1,1.4,0,reject
32,8,128,2,4.33,0,reject
62,38,91,1,3.8,0,reject
57,32,39,4,0.9,0,reject
52,26,121,1,7.3,167,reject
36,6,21,1,0.67,0,reject
34,9,41,3,2.3,0,reject
63,37,45,2,0.7,0,reject
24,-2,51,3,0.3,0,reject
57,31,165,1,1.6,0,accept
40,16,119,2,4.2,0,accept
27,2,110,4,1.8,190,reject
65,39,20,3,0.7,0,reject
60,34,64,1,0.8,248,reject
44,20,101,3,4.4,82,accept
63,39,101,1,3.9,0,accept
59,34,99,1,4.4,0,accept
56,30,158,4,6.1,0,accept
54,28,89,1,1.9,0,reject
52,27,80,1,1.3,0,reject
58,32,114,2,2,402,reject
60,35,49,3,0.5,0,reject
28,4,191,1,6.33,0,reject
54,30,78,4,1,0,reject
32,6,28,3,1,0,reject
59,33,42,1,0.8,0,reject
63,38,140,1,2.5,0,reject
48,23,45,1,1.3,0,reject
56,32,122,2,0.3,360,reject
36,12,65,3,2.6,0,reject
57,27,68,1,1.4,0,reject
29,3,153,2,2,392,reject
39,13,89,4,1.4,0,reject
59,34,91,1,2.6,0,reject
31,6,55,4,2,185,reject
43,19,118,2,3.3,0,reject
35,5,22,1,0.67,103,reject
54,24,63,3,1.4,138,reject
51,27,12,4,0.5,78,reject
44,19,50,3,2.7,0,reject
25,0,43,2,1.6,0,reject
40,15,173,4,6.6,0,accept
26,2,60,2,3,132,accept
39,14,113,1,1,0,reject
28,4,155,4,5.3,0,accept
52,28,91,4,1,0,reject
53,29,55,4,1.1,0,reject
44,20,173,2,1.4,419,reject
43,19,71,3,0.3,0,reject
56,30,24,2,0.4,88,reject
38,14,42,1,2,81,reject
30,6,141,2,4.33,0,reject
32,6,32,1,1.9,0,reject
35,10,55,4,1.3,0,reject
43,19,153,2,7.5,0,reject
58,32,113,2,1.4,270,reject
25,0,30,2,1.7,0,reject
54,24,29,3,1,148,reject
57,32,174,1,6.8,466,accept
50,24,35,1,0.3,0,reject
32,8,98,2,2,175,reject
63,37,30,2,1,159,reject
31,6,58,2,2.5,0,reject
36,12,25,4,1,147,reject
58,34,19,4,0.7,0,reject
56,30,44,4,0.7,174,reject
49,25,20,4,1,111,reject
30,5,98,2,3.1,220,reject
33,7,90,3,1.6,0,reject
45,21,61,3,0.7,0,reject
30,5,40,4,2,0,reject
47,23,38,2,2.1,0,reject
25,0,28,2,1.7,0,reject
63,33,34,1,1.5,0,reject
55,29,73,2,2.3,0,reject
65,41,133,4,2,0,accept
44,18,53,1,0.2,0,reject
51,25,21,4,0.6,0,reject
35,9,40,3,0.9,0,reject
30,5,41,4,1.7,0,reject
31,5,82,4,1.8,0,reject
54,30,100,4,3.4,0,accept
45,20,155,1,7,0,reject
45,19,45,1,0.2,0,reject
58,32,9,3,0.3,0,reject
54,29,48,4,1.8,0,reject
53,28,18,4,0.1,109,reject
33,9,80,4,3.4,0,reject
60,35,64,2,2.8,0,reject
50,24,29,4,0.1,0,reject
26,2,48,3,0.7,0,reject
54,30,23,2,0.4,0,reject
28,3,84,4,0.2,0,reject
36,10,179,3,6.6,0,accept
29,2,30,4,1.5,112,reject
54,28,93,1,4.9,133,reject
55,30,39,2,1.9,0,reject
61,36,60,3,0.5,182,reject
36,11,133,1,3.8,290,reject
45,19,125,1,2.4,0,reject
64,40,58,1,1.8,0,reject
60,36,89,2,2.8,0,reject
49,22,82,1,2.67,125,reject
47,23,110,2,3.3,0,reject
60,36,54,4,2.3,0,reject
45,20,89,4,1.9,0,reject
32,7,42,3,2.3,0,reject
52,28,41,3,1.9,0,reject
35,8,38,4,1,124,reject
40,15,85,2,0.4,0,reject
53,29,83,4,1,0,reject
27,0,33,4,1,0,reject
58,33,50,4,2.1,0,reject
47,22,58,4,3.6,0,reject
28,3,115,4,3.1,0,accept
46,20,145,2,6.3,0,reject
43,19,161,2,7.5,0,reject
56,30,38,1,0.2,0,reject
28,3,28,4,0.8,0,reject
42,18,75,3,2.33,0,reject
32,7,35,3,1.3,116,reject
62,38,24,2,1,116,reject
37,13,78,4,0.1,0,reject
51,26,113,1,1.3,161,reject
39,13,75,3,2.1,224,reject
43,17,91,1,5.7,0,reject
52,28,31,4,0.2,141,reject
30,6,45,1,1.8,0,reject
52,26,80,3,0.8,0,reject
61,35,50,3,1.4,112,reject
36,9,31,4,1,0,reject
58,32,113,2,3.8,119,accept
47,23,29,4,0.6,0,reject
64,39,59,2,1.5,139,reject
52,27,43,1,1.3,0,reject
58,28,122,1,3,115,accept
48,24,29,1,1,0,reject
64,40,91,2,0,0,reject
58,32,65,3,2.2,0,reject
47,23,22,1,1,0,reject
49,23,71,1,1.4,0,reject
31,4,60,4,2,0,reject
61,37,60,3,2,0,reject
51,25,69,1,0.3,0,reject
28,-2,48,2,1.75,89,reject
39,13,21,3,0.2,0,reject
54,28,53,4,2.8,0,reject
50,24,29,3,0.9,0,reject
30,4,60,4,2.2,0,reject
64,39,42,3,0.5,116,reject
29,3,69,3,0.3,0,reject
48,24,20,1,1,0,reject
35,10,200,2,3,458,reject
60,36,141,2,2.1,0,reject
55,30,81,2,3.7,0,reject
29,4,183,3,8.3,0,accept
48,22,149,2,5.5,0,accept
43,19,83,4,3.6,0,accept
66,42,35,1,1.9,172,reject
25,0,13,2,0.9,0,reject
45,20,39,1,2.4,0,reject
34,10,21,1,0.5,0,reject
48,23,10,2,0.7,0,reject
32,6,84,4,1.8,0,reject
50,24,30,4,0.1,161,reject
43,19,31,4,0.3,156,reject
64,39,182,1,1.2,547,accept
60,34,114,2,6.9,0,reject
43,19,152,3,6.1,0,accept
60,34,53,1,0.8,0,reject
64,39,24,4,0.4,78,reject
44,20,150,2,3.3,0,reject
60,36,132,2,6,470,reject
54,29,68,3,1.6,0,reject
33,9,53,1,1.2,0,reject
56,32,173,1,4.6,88,accept
29,5,30,3,1,0,reject
25,1,113,2,0.2,0,reject
60,34,15,1,0.8,0,reject
55,30,84,2,3.7,304,reject
39,13,88,4,1.4,0,reject
37,13,43,3,2.8,0,reject
53,28,43,2,2.1,0,reject
34,10,90,2,2.7,0,reject
42,18,34,4,0.3,104,reject
60,36,38,4,1.3,0,reject
50,24,173,1,1,0,reject
41,17,160,2,8,0,reject
25,0,44,4,0.6,0,reject
50,24,83,2,0.4,0,reject
48,22,94,4,2.6,0,reject
32,8,43,1,2.1,0,reject
50,25,42,3,1.7,0,reject
59,33,34,2,0.3,0,reject
50,26,39,3,1.9,0,reject
44,19,70,1,0.1,0,reject
31,5,39,4,1.8,185,reject
40,10,44,3,2,0,reject
36,12,69,3,3.1,0,accept
51,25,44,3,0.9,0,reject
64,40,32,3,0.1,0,reject
47,22,15,2,0.7,0,reject
52,28,118,2,6.8,112,reject
51,26,62,1,1.3,221,reject
31,5,82,4,2.2,0,reject
39,14,54,3,3,108,reject
30,6,48,1,2.1,0,reject
27,1,74,3,0.3,0,reject
41,16,113,1,1,211,reject
53,27,81,3,1.7,0,reject
54,27,43,3,1,169,reject
28,4,34,1,1.8,0,reject
34,9,48,1,2.5,105,reject
61,37,54,4,1.2,129,reject
48,24,75,4,1.4,0,reject
36,11,72,1,2.8,224,reject
56,31,39,4,0.9,0,reject
24,-1,75,4,0.2,0,reject
64,38,79,2,2.8,179,reject
26,2,205,1,6.33,271,reject
33,8,65,2,0.1,89,reject
64,39,122,4,0.2,378,accept
39,15,82,1,0.8,0,reject
54,30,21,2,0.2,0,reject
32,6,50,4,2.1,0,reject
62,37,39,2,2.8,113,reject
27,2,101,1,1.9,0,reject
53,28,41,2,0.6,0,reject
51,25,132,1,0.3,0,reject
25,-1,43,3,2.4,176,reject
44,20,131,1,4.9,0,accept
31,5,11,1,0.4,76,reject
57,32,21,1,0.3,117,reject
25,-1,109,4,2.3,314,reject
30,6,141,2,4.33,0,reject
40,14,81,3,0.1,0,reject
63,38,54,3,2.4,90,reject
35,10,164,2,7.8,0,reject
43,19,28,4,0.3,87,reject
27,2,68,3,2.6,203,reject
44,14,44,3,2,180,reject
49,23,61,1,1.4,0,reject
61,36,35,3,1.3,0,reject
60,34,54,3,0.3,0,reject
59,34,14,1,0.1,0,reject
28,3,52,4,2.2,230,reject
52,28,101,2,0.3,0,reject
28,2,149,2,7.2,0,reject
34,8,35,4,0.8,137,reject
60,34,21,3,0.3,129,reject
39,15,118,2,1.9,0,reject
30,5,38,4,2,0,reject
49,25,24,4,0.2,138,reject
43,18,59,1,3.7,0,reject
63,33,41,4,1.67,0,reject
28,3,85,1,0.8,0,reject
51,27,12,4,1,0,reject
33,7,32,1,0.6,152,reject
55,29,79,3,0.8,0,reject
53,28,175,3,3.6,0,accept
34,8,28,3,0.9,0,reject
34,9,41,2,0.1,161,reject
40,14,70,3,2.1,185,reject
49,25,161,3,6.5,485,accept
35,9,53,4,2.2,0,reject
39,15,128,1,3.4,0,reject
55,28,50,3,1,0,reject
29,5,80,2,2,0,reject
54,30,93,1,2.7,0,reject
25,-1,48,3,0.3,0,reject
52,28,149,2,6.8,0,reject
46,19,49,3,2.5,0,reject
57,33,88,1,2.7,0,reject
52,22,22,4,0.4,0,reject
28,3,55,4,2.2,0,reject
44,18,72,1,0.7,155,reject
24,-1,38,2,1.7,0,reject
40,16,114,1,3.4,300,reject
34,4,83,4,4,0,reject
39,14,101,2,0.4,0,reject
50,24,94,1,4.9,272,reject
41,17,40,2,2.5,0,reject
31,7,128,1,6,0,reject
29,3,39,4,2.1,0,reject
30,5,51,1,1,0,reject
44,20,79,4,2,0,reject
33,7,48,4,2.2,0,reject
50,26,85,1,0,144,reject
42,18,41,1,1.8,94,reject
48,22,152,1,3.5,0,accept
24,-2,125,2,7.2,0,reject
56,31,11,2,0.2,90,reject
28,4,103,2,2.5,0,reject
56,30,141,2,0.5,0,reject
58,32,38,1,1.4,0,reject
29,5,135,2,0.6,0,reject
63,38,28,2,0.5,89,reject
28,3,70,4,2.2,240,reject
57,31,41,1,0.2,0,reject
34,8,81,3,0.9,208,reject
28,3,170,1,0.1,0,accept
27,2,55,4,1.7,0,reject
37,11,24,4,1.5,0,reject
52,28,81,3,1.8,275,reject
49,23,32,4,1.8,83,reject
65,40,129,1,1.3,0,reject
60,35,108,1,0.9,0,reject
37,12,180,1,8.6,0,reject
63,37,139,2,6.9,0,reject
40,14,33,2,1.4,0,reject
46,20,74,4,2.6,0,reject
63,37,42,2,0.7,115,reject
57,27,73,1,3,0,reject
33,8,115,4,2.9,0,accept
41,17,114,2,1.8,0,reject
41,17,92,2,1.9,131,reject
44,19,34,1,0.3,78,reject
33,6,54,2,1.67,122,reject
